UnitID;Institution Name;Number of F-T students submitting SAT scores;Percent of F-T students submitting SAT scores;Number of F-T students submitting ACT scores;Percent of F-T  students submitting ACT scores;SAT Critical Reading 25th PCT score;SAT Critical Reading 75th PCT score;SAT Math 25th PCT score;SAT Math 75th PCT score;SAT Writing 25th PCT score;SAT Writing 75th PCT score;ACT Composite 25th PCT score;ACT Composite 75th PCT score;ACT English 25th PCT score;ACT English 75th PCT score;ACT Math 25th PCT score;ACT Math 75th PCT score;ACT Writing 25th PCT score;ACT Writing 75th PCT score
180203;Aaniiih Nakoda College;;;;;;;;;;;;;;;;;;
222178;Abilene Christian University;595;56;473;44;470;590;480;590;450;570;22;27;21;27;20;26;6;8
