UnitID;Institution Name;Grand total;Grand total men;Grand total women;American Indian or Alaska Native total;American Indian or Alaska Native men;American Indian or Alaska Native women;Asian total;Asian men;Asian women;Black or African American total;Black or African American men;Black or African American women;Hispanic total;Hispanic men;Hispanic women;Native Hawaiian or Other Pacific Islander total;Native Hawaiian or Other Pacific Islander men;Native Hawaiian or Other Pacific Islander women;White total;White men;White women;Two or more races total;Two or more races men;Two or more races women;Race/ethnicity unknown total;Race/ethnicity unknown men;Race/ethnicity unknown women;Nonresident alien total;Nonresident alien men;Nonresident alien women
180203;Aaniiih Nakoda College;219;104;115;202;94;108;0;0;0;1;1;0;1;1;0;0;0;0;15;8;7;0;0;0;0;0;0;0;0;0
222178;Abilene Christian University;4544;1823;2721;15;5;10;43;15;28;432;175;257;679;241;438;2;1;1;2909;1170;1739;209;90;119;81;31;50;174;95;79
