UnitID;Institution Name;ANP awarded grant or scholarship aid 2014-15;ANP awarded grant or scholarship aid 2013-14;ANP awarded grant or scholarship aid 2012-13;ANP(0-30000) ST-AWR TIV FFA2014-15;ANP(30001-48000) ST-AWR TIV FFA 2014-15;ANP(48001-75000) ST-AWR TIV FFA 2014-15;ANP(75001-110000) ST-AWR TIV FFA 2014-15;ANP(over 110000) ST-AWR TIV FFA 2014-15;ANP(0-30000) ST-AWR TIV FFA 2013-14;ANP(30001-48000) ST-AWR TIV FFA 2013-14;ANP(48001-75000) ST-AWR TIV FFA 2013-14;ANP(75001-110000) ST-AWR TIV FFA 2013-14;ANP(over 110000) ST-AWR TIV FFA 2013-14;ANP(0-30000) ST-AWR TIV FFA 2012-13;ANP(30001-48000) ST-AWR TIV FFA 2012-13;ANP(48001-75000) ST-AWR TIV FFA 2012-13;ANP(75001-110000) ST-AWR TIV FFA 2012-13;ANP(over 110000) ST-AWR TIV FFA 2012-13
180203;Aaniiih Nakoda College;4502;8070;7591;4225;5413;4448;;;7947;8418;8419;;;7507;7940;8580;;
222178;Abilene Christian University;;;;;;;;;;;;;;;;;;
