UnitID;Institution Name;TC (below the postsecondary level);TC: Students complete preparation in areas of special;TC: Students complete at another institution for  special;TC: Approved by state for initial cert or lic of teachers
180203;Aaniiih Nakoda College;0;0;0;0
222178;Abilene Christian University;1;1;0;1
