UnitID;Institution Name;Value of endowment assets at the beginning of the fiscal year (F1415_F2);Value of endowment assets at the end of the fiscal year (F1415_F2);Value of endowment assets at the beginning of the fiscal year (F1415_F1A);Value of endowment assets at the end of the fiscal year (F1415_F1A)
180203;Aaniiih Nakoda College;;;;
222178;Abilene Christian University;370426298;382839788;;
