UnitID;Institution Name;Number of branches and independent libraries;Number of physical books;Number of physical media;Number of digital/electronic databases;Number of digital/electronic media;Total library collections physical/electronic;Has an academic library
180203;Aaniiih Nakoda College;0;1000;300;4;0;1304;1
222178;Abilene Christian University;0;559396;1266746;112;120007;2224624;1
