UnitID;Institution Name;Applicants total;Applicants men;Applicants women;Admissions total;Admissions men;Admissions women;Enrolled total;Enrolled  men;Enrolled  women;Enrolled full time total;Enrolled full time men;Enrolled full time women;Enrolled part time total;Enrolled part time men;Enrolled part time women
180203;Aaniiih Nakoda College;;;;;;;;;;;;;;;
222178;Abilene Christian University;10804;4229;6575;5393;1918;3475;1072;395;677;1069;393;676;3;2;1
