UnitID;Institution Name;Graduation rate total cohort ;Graduation rate men ;Graduation rate women ;Bachelor degree within 4 years  total ;Bachelor degree within 5 years  total;Bachelor degree within 6 years  total
180203;Aaniiih Nakoda College;31;19;41;;;
222178;Abilene Christian University;61;56;66;42;57;61
